Headline,VADER Score,TextBlob Score
friend of friend better friend than friend,0.94,0.5
troop leader awards boy scout with 'tried to save best friend' badge,0.927,1.0
great lover also great at slinking out,0.919,0.8
report: russia managed to penetrate voter databases in order to ensure election was fair and free like the loyal allies they are,0.915,0.478
pandering nobel peace prize committee honors global harmony again,0.915,0.0
lie to cover surprise party sounds more fun than surprise party,0.909,0.4
man basks in triumphant glory after purchases line up to exact value of gift card,0.904,0.25
biden co-presents best new starlet award with shyla stylez at 2015 avn adult movie awards show,0.893,0.412
report: john grisham slowly but surely climbing list of greatest living american authors,0.892,0.3
"marine determined to win heart, mind of at least one iraqi",0.886,0.25
