Comment,VADER Score,TextBlob Score
"Thank God you have that unfortunate government. It permits you the opportunity to decide on how justice is defined and how it may best be served for all of us.   In a perfect world these types of choices would not be necessary, but then in a perfect world there would be no purpose for religion. We do the best we can in proportion to how much we care. Want a different government vote. Want a better government vote wisely. Want a better government quickly. Get others to do the same.",0.989,0.441
"I have done a lot of reflecting...
'For god so loved the world'...that he (supposedly) destroyed it all because he was XXXXXX off. I don't need that kind of 'love' in my life. Obviously, you do.
'Love' has nothing to do with it.
It is the Christian commandment that:
24 Now as the church submits to Christ, so also wives should submit to their husbands in everything. 
You have yet to admit that this verse exists but, it seems that you are justifying it on the condition that 'love' is involved.
What you mean to say is, 'Women are to submit to their husbands in everything because their husbands supposedly love them.'
Or, are you saying that men are to love their wives and submission is optional?
That's not what the bible says.
Of course, that's not a problem for the Christian women, is it, because they agree.emoticonXFrazzled",0.984,0.317
"Taking away peoples right to an abortion is a great idea !!   People are confused and don't really know they want a kid, they just think they don't. It will all be alright after the kid arrives, .. they will discover we know best and keep and love and shelter these kids in a nurturing way. We know best and we know that none of them will ever just end up in a trash can or droped off at the local childrens home to join the thousands of other unwanted kids. None will ever become a pawn in a divorce situation, nore will any of them be sold into child slavery or prostitution.   How do we know all this ? .. We just know people who don't think they are ready for or want a kid really do !!   They will love and nurture it and all will be well.",0.982,0.373
"FSM is not world-wide yet, but it is growing. Thank you for the consciousness raising by bringing attention to this glorious belief system. It has the advantage of being every bit as valid and supportable as either creationism or ID. More importantly, it's scripture is unambiguous on the origins of the universe.
It looks like you may have attracted a new adherent.
Ramen!",0.981,0.357
" as their having guns doesn't serve the state.\""--Heinrich HimmlerFor pledging their support of Nazi ideals  we proudly award \""Yes\"" the Medal of Holocaust and Genocide. Congratulations  you're now a supporter of Hitler."" and you win the PINK PANTIES award!I got news for you PUNK - my family fled the Nazi's on foot in WWII ",0.979,0.5
"Yes, he did avoid the issues important to me, but then, America's electorate contains a lot of religious bigots, so I was not really surprised. I think he was pretty clear where he stood on abortion rights, though. No chance of another bunch of Romish Supreme Court justices, I think.
And if you think Obama is a conservative, can I sell you a bridge in Brooklyn? He's not as liberal as some, and he certainly isn't left wing -- and no, dear, liberal and left are not synonyms, for all you reactionaries like to make the claim they are -- but look at his voting record. It would make you cringe and me applaud.
",0.976,0.1
"But didn't you know? The USA is a CHRISTIAN NATION and all other beliefs are subservient to that. They don't get it, they actally believe that they're doing good and are also doing it for our own good as well.   It isn't terrorists, or any other outside force which are a threat to American rights and freedoms, it is those like the Christian right who you truly have to fear. Those like Pat Robertson, or Jerry Falwel who have influence and many others as well like your President. How many other Judges feel and believe the same as Judge Moore in Alabama did?",0.976,0.208
"Because there are good things about every state means....what exactly? Of course there is good in bad in most everything, which has nothing to do with what I said.
Yes, great food, crawfish as a staple, great fishing, bayous, New Orleans, Mardi Gras....long beads......sure, some great things. With regards to achievement or vision? I'm not seeing it. Legal gambling? That was another recent ""achievement"". What about wanting to secede from the Union? Yes, Louisiana is the consistent trend-setter for the civilized world. Oh wait, it isn't.
-Mach",0.97,0.372
"You haven't posted a challenge yet. Including this post.   Would I fit the bill?   Sure, but about what? What's your resolution?   For instance, you might say ""Resolved: Creation and Evolution are equally valid interpretations of empirical evidence"".   Now, personally I'd say that's still too vague because 'creation' drags in all kinds of issues that evolution doesn't speak to (eg abiogenesis, cosmology etc), and 'evolution' could mean common descent, the theory of evolution, etc etc.   So we might kick the idea around for a bit and narrow it down to ""Resolved: Hypotheses of special creation of species and common descent are equally well supported by empirical evidence"".   Or, perhaps it's the age of the earth you want to focus on: ""Resolved: all available evidence is consistent with a 6-10,000 year old earth""   I can't do this for you, feindslayer; make up your mind and present a proper challenge.",0.97,0.023
"Here it is again
I did not say US still tops in gun deaths.. Where did I say that? Read the article.. its an eye opener... Police are historians not protectors... If your comfortable ""under the wing of the beast"" good for you mate.. Perhaps liberty and freedom are things too foriegn a concept to you or your too comfortable suckling the sow of your overeaching federal government pig to care..
",0.969,0.5
