headline,cleaned_headline,char_count,word_count,avg_word_length,quote_count,exclamation_count,question_mark_count,is_sarcastic
"If that's true, then Freedom of Speech is doomed. Harassment is subjective. Now I can claim that a book I don't like is harassing me, and it will be banned.",if that is true then freedom of speech is doomed harassment is subjective now i can claim that a book i do not like is harassing me and it will be banned,156,30,4.233333333333333,2,0,0,0
Neener neener - is it time to go in from the playground yet?,neener neener is it time to go in from the playground yet,60,13,3.6923076923076925,0,0,1,0
"Just like the plastic gun fear, the armour piercing bullet fear was built upon misinformation and myth.",just like the plastic gun fear the armour piercing bullet fear was built upon misinformation and myth,103,17,5.117647058823529,0,0,0,0
So geology is a religion because we weren't here to see rock X formed?,so geology is a religion because we were not here to see rock x formed,70,14,4.071428571428571,1,0,1,0
Well done Monty. Mark that up as your first ever 100% honest and accurate post here.,well done monty mark that up as your first ever honest and accurate post here,84,16,4.3125,0,0,0,0
"But the whole process was done in the courts using the process set up by the constitution. Where the laws are not clear on an issue, such as in Massachusetts, it is the courts job to decide. The courts are a check on the injustice towards minorities by the majority.",but the whole process was done in the courts using the process set up by the constitution where the laws are not clear on an issue such as in massachusetts it is the courts job to decide the courts are a check on the injustice towards minorities by the majority,266,50,4.34,0,0,0,0
so we would penalize financially those who want to have kids?,so we would penalize financially those who want to have kids,61,11,4.636363636363637,0,0,1,0
"So, IOW, you are saying that those of us who are intelligent enough to realize that your non existent imaginary god doesn't exist have a chemical imbalance? Wow, that's quite a stretch even for you Archie baby.",so iow you are saying that those of us who are intelligent enough to realize that your non existent imaginary god does not exist have a chemical imbalance wow that is quite a stretch even for you archie baby,210,37,4.702702702702703,2,0,1,0
"your probably referring to the mexican basin crater. mass extinction doesn't prove evolution. the flood as described in the Bible is an example of mass extinction. besides, in order for the asteroid theory to work, the asteroid would have to create an almost global tidal wave that would effectively kill the animals by drowning. also similiar to the effects of the flood.",your probably referring to the mexican basin crater mass extinction does not prove evolution the flood as described in the bible is an example of mass extinction besides in order for the asteroid theory to work the asteroid would have to create an almost global tidal wave that would effectively kill the animals by drowning also similiar to the effects of the flood,372,62,5.016129032258065,1,0,0,0
"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?",not in matters of atheism tell me when science discovers something that seems to agree with the year old writings of darwin are the writings of darwin disregarded or is that type of history trumpeted to the masses,222,39,4.717948717948718,0,0,2,0
So will they be in front of or behind a leaf?,so will they be in front of or behind a leaf,45,11,3.1818181818181817,0,0,1,0
Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.,really i do not think you know what you are talking about please provide evidence to back your claim thanks,110,19,4.842105263157895,1,0,1,0
"If that is a human being, then is my kidney a human being too?",if that is a human being then is my kidney a human being too,62,14,3.5,0,0,1,0
That would be more likely than finding evidence for abiogenesis.,that would be more likely than finding evidence for abiogenesis,64,10,5.5,0,0,0,0
What is incredible is that this is probably the most enlightened response I can expect from this crowd.,what is incredible is that this is probably the most enlightened response i can expect from this crowd,103,18,4.777777777777778,0,0,0,0
"Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary.",wonder what euthanization is never heard of it before and neither has the dictionary,89,14,5.428571428571429,2,0,0,0
You were crowing a bit. What I don't understand is why. How could you possibly be pleased by some strangers religious views. Would you have been pleased if he switched to liking broccoli? (Or disliking as the case may be),you were crowing a bit what i do not understand is why how could you possibly be pleased by some strangers religious views would you have been pleased if he switched to liking broccoli or disliking as the case may be,221,40,4.55,1,0,1,0
Oh joy another drive by with absolutely no proof or evidence.,oh joy another drive by with absolutely no proof or evidence,61,11,4.636363636363637,0,0,0,0
It is clear that the profetallifers wish to make the pregnant woman a slave to her fetus.,it is clear that the profetallifers wish to make the pregnant woman a slave to her fetus,89,17,4.294117647058823,0,0,0,0
"Well if your claim is that you shouldn't push a gun owner's buttons and make them mad, then why are you arguing with me when that's what you're claiming is the wrong thing to do?",well if your claim is that you should not push a gun owners buttons and make them mad then why are you arguing with me when that is what you are claiming is the wrong thing to do,178,35,4.114285714285714,4,0,1,0
"Ok...many many people have been killed in Africa because of the policies of the countries in the EU, South America, Asia, and so on....this hypocrisy annoys me.",okmany many people have been killed in africa because of the policies of the countries in the eu south america asia and so onthis hypocrisy annoys me,160,27,4.962962962962963,0,0,0,0
And I see you still flip back and fourth from being an atheist to not being an atheist.,and i see you still flip back and fourth from being an atheist to not being an atheist,87,18,3.888888888888889,0,0,0,0
"What quaint illogic. Only people who marry can get divorced, so a reduction in people marrying has no effect on rising divorce rates. If anything, a rising divorce rate among fewer marriages points to an even higher divorce rate than ""normal"".",what quaint illogic only people who marry can get divorced so a reduction in people marrying has no effect on rising divorce rates if anything a rising divorce rate among fewer marriages points to an even higher divorce rate than normal,243,41,4.951219512195122,2,0,0,0
"I agree, for the most part. Once you get to tanks and helicopters though? Too big, too easy a target for a tyrannical regime. Do you see the Iraqis and Afghanis using tanks and helicopters? I'm sure they could get them if they really wanted, but they're useless against a government that invests in satellite technology and bombers. Better to stick with the rocket launchers and mines.",i agree for the most part once you get to tanks and helicopters though too big too easy a target for a tyrannical regime do you see the iraqis and afghanis using tanks and helicopters i am sure they could get them if they really wanted but they are useless against a government that invests in satellite technology and bombers better to stick with the rocket launchers and mines,385,67,4.7611940298507465,2,0,2,0
"Really, so you are totally knowable? Show me the site that has the Mach User-Manual where I can know everything about you.",really so you are totally knowable show me the site that has the mach usermanual where i can know everything about you,122,22,4.590909090909091,0,0,1,0
"I don't see anyone without healthcare. None of my friends, none of my family, none of my neighbors. ZILCH. NADA. NAUGHT. CIPHER.   Now I don't go wandering around the inner cities looking for half-crazy winos and crack addicts either, so maybe that's why.",i do not see anyone without healthcare none of my friends none of my family none of my neighbors zilch nada naught cipher now i do not go wandering around the inner cities looking for halfcrazy winos and crack addicts either so maybe that is why,255,43,4.906976744186046,3,0,0,0
"It seems that the high priest of Global Warming is so unconcerned about its reality that In the past year, Gore's home burned through 213,210 kilowatt-hours (kWh) of electricity, enough to power 232 average American households for a month.   http://news.newsmax.com/?SKIDYNyQ-GW...mo_code=6539-1",it seems that the high priest of global warming is so unconcerned about its reality that in the past year gores home burned through kilowatthours kwh of electricity enough to power average american households for a month httpnewsnewsmaxcomskidynyqgwmo_code,295,40,6.35,1,0,1,0
Then why can't you explain an unreflective fertility and abortion rates between 1972-1979 here in America or how the Polish fertility rate never increased after the 1993 referendum that criminalized abortion?   Prove to me when criminalizing abortion has ever decreased it's demand. So far you haven'tonly provided empty rhetoric. The pro-life movement thoroughly brainwashes it's supporters to believe such jibberish.,then why cannot you explain an unreflective fertility and abortion rates between here in america or how the polish fertility rate never increased after the referendum that criminalized abortion prove to me when criminalizing abortion has ever decreased it is demand so far you have notonly provided empty rhetoric the prolife movement thoroughly brainwashes it is supporters to believe such jibberish,418,60,5.95,4,0,1,0
Proof? All I can think to say is that a mind is a terrible thing to waste.,proof all i can think to say is that a mind is a terrible thing to waste,74,17,3.411764705882353,0,0,1,0
"False. This is not a valid definition of atheism. Atheism is the lack of theism (the belief in gods). Certainly, if I said ""there isn't a tiger in my bathroom"", I wouldn't need to have a camera in there to see. It's called being reasonable.",false this is not a valid definition of atheism atheism is the lack of theism the belief in gods certainly if i said there is not a tiger in my bathroom i would not need to have a camera in there to see it is called being reasonable,240,45,4.355555555555555,5,0,0,0
O they don't make space anymore. They'll just put him in a cell with pot growers and crack addicts. He'll be lucky if he gets a spot on the floor to sleep on.,o they do not make space anymore theyll just put him in a cell with pot growers and crack addicts hell be lucky if he gets a spot on the floor to sleep on,158,33,3.8181818181818183,3,0,0,0
"I think the FSM threw these guys a bone. They cherrypicked which taxa would give them the most statistically significant results. If they were to expand the method to include more and more taxa, they'd see the Noodly Appendage of the Flying Spaghetti Monster. Ramen.",i think the fsm threw these guys a bone they cherrypicked which taxa would give them the most statistically significant results if they were to expand the method to include more and more taxa theyd see the noodly appendage of the flying spaghetti monster ramen,266,45,4.933333333333334,1,0,0,0
"I take it you have no understanding of science, much less the scientific method?",i take it you have no understanding of science much less the scientific method,80,14,4.785714285714286,0,0,1,0
"Well maybe on the 4473 they could put a little box to check if you are a straw purchaser,maybe a psychic in the back room or ask them politely if they are straw purchasers.",well maybe on the they could put a little box to check if you are a straw purchasermaybe a psychic in the back room or ask them politely if they are straw purchasers,172,34,4.088235294117647,0,0,0,0
"Just another example of using a verse meant for personal use and applying it to wars. Sorry, just doesn't work that way.",just another example of using a verse meant for personal use and applying it to wars sorry just does not work that way,120,22,4.5,1,0,0,0
"I think he doesn't really know what he means, I don't think all heathens follow a particular set of beliefs, though I don't know as many as I do pagans.",i think he does not really know what he means i do not think all heathens follow a particular set of beliefs though i do not know as many as i do pagans,152,30,4.1,3,0,0,0
"By all means, burn those books . . . er, I mean, take down those nativity scenes.",by all means burn those books er i mean take down those nativity scenes,81,17,3.823529411764706,0,0,0,0
"""Supposedly""? You ran from those threads. You are the one making assertions that you don't back up. You are the one unwilling (i.e. unable) to show that Arctic foxes can adapt to a Phoenix summer. You are the one who keeps ignoring (what I will henceforth refer to as) The Chihuahua Challenge. For somebody claiming to be so clearly right and so obviously vindicated by the evidence, you've done nothing to show it, and you've done everything to run from it.",supposedly you ran from those threads you are the one making assertions that you do not back up you are the one unwilling ie unable to show that arctic foxes can adapt to a phoenix summer you are the one who keeps ignoring what i will henceforth refer to as the chihuahua challenge for somebody claiming to be so clearly right and so obviously vindicated by the evidence you have done nothing to show it and you have done everything to run from it,458,81,4.666666666666667,5,0,1,0
"Oh? They're trained to deal with irate exhusbands who are stabbing their wives and dousing them in gasoline, in broad daylight, in the middle of a busy parking lot? They're trained to deal with that specific kind of #### every single day?",oh they are trained to deal with irate exhusbands who are stabbing their wives and dousing them in gasoline in broad daylight in the middle of a busy parking lot they are trained to deal with that specific kind of every single day,238,42,4.690476190476191,2,0,3,0
And a lot of blacks were killed through hangings. Are you against rope vendors?,and a lot of blacks were killed through hangings are you against rope vendors,79,14,4.714285714285714,0,0,1,0
And instead place my faith in the mythology of nomadic herdsmen? It is much more logical to believe in some all knowing but unknowable magic being who poofed everything into existance and then created all of the evidence to make it appear as if he didn't.,and instead place my faith in the mythology of nomadic herdsmen it is much more logical to believe in some all knowing but unknowable magic being who poofed everything into existance and then created all of the evidence to make it appear as if he did not,255,46,4.565217391304348,1,0,1,0
and gun nuts say f*** the children when we have to decide between saving guns and childrens lives,and gun nuts say f the children when we have to decide between saving guns and childrens lives,97,18,4.444444444444445,0,0,0,0
