token,coefficient
area,6.865440400830321
man,5.480400632130942
nation,5.256123659760118
report,5.0426572759240385
nations,4.571371074785187
local,4.031436351426228
of,3.788066394199696
only,3.6343737640455664
study,3.581625440620588
guy,3.559859971413107
he,3.4841025693949703
introduces,3.4596791480425244
fucking,3.1154347765673216
onion,3.0860130173470264
announces,3.071185328485721
self,3.0697047018969195
shit,3.061262728942789
romney,2.881004593276991
clearly,2.797475873105158
fuck,2.7681781819556113
